,Series,Key,Description
18,SBN2024,PDTRGST-TOT,Total - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + Total - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DEALER TRANSACTIONS WITH OTHERS
19,SBN2024,PDGSWOEXTTOT,Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) - DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) - DEALER TRANSACTIONS WITH OTHERS
20,SBN2024,PDSIOSB-ABSTOT,Total - ASSET-BACKED SECURITIES OTHER FINANCING ACTIVITY SECURITIES BORROWED - DEALER FINANCING.
21,SBN2024,PDSOOS-ABSTOT,Total - ASSET-BACKED SECURITIES OTHER FINANCING ACTIVITY SECURITIES LENT
22,SBN2024,PDSIOSB-CDTOT,Total - CORPORATE DEBT OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED.
23,SBN2024,PDSOOS-CDTOT,Total - CORPORATE DEBT OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT
24,SBN2024,PDSIOSB-ETOT,Total - EQUITIES OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED: OVERNIGHT AND CONTINUING.
25,SBN2024,PDSOOS-ETOT,Total - EQUITIES OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT
26,SBN2024,PDSIOSB-FGEMTOT,Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED:
27,SBN2024,PDSOOS-FGEMTOT,Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT
28,SBN2024,PDSIOSB-OTOT,Total - OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED
