,Series,Key,Description
29,SBN2024,PDSIOSB-FGCMTOT,"Total - Other Financing Activity, Securities Borrowed: Federal Agency and GSE CMBS "
30,SBN2024,PDSIOSB-FGMTOT,"Total - Other Financing Activity, Securities Borrowed: Federal Agency and GSE Residential MBS"
31,SBN2024,PDSOOS-FGCMTOT,"Total - Other Financing Activity, Securities Lent: Federal Agency and GSE CMBS"
32,SBN2024,PDSOOS-FGMTOT,"Total - Other Financing Activity, Securities Lent: Federal Agency and GSE Residential MBS"
33,SBN2024,PDSOOS-OTOT,Total - OTHER OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT
34,SBN2024,PDSORA-ABSTOT,Total - Repurchase Agreements: Asset-backed securities - Triparty (excluding GCF)
35,SBN2024,PDSORA-CDTOT,Total - Repurchase Agreements: Corporate Debt - Triparty (excluding GCF)
36,SBN2024,PDSORA-ETOT,Total - Repurchase Agreements: Equities - Triparty (excluding GCF)
37,SBN2024,PDSORA-FGCMTOT,Total - Repurchase Agreements: Federal Agency and GSE CMBS
38,SBN2024,PDSORA-FGMTOT,Total - Repurchase Agreements: Federal Agency and GSE Residential MBS
39,SBN2024,PDSORA-FGEMTOT,Total - Repurchase Agreements: Federal Agency and GSE Securities (excluding MBS)
40,SBN2024,PDSORA-OTOT,Total - Repurchase Agreements: Other 
41,SBN2024,PDSORA-UTSTTOT,Total - Repurchase Agreements: U.S. Treasury Inflation-Protected Securities (TIPS)
42,SBN2024,PDSORA-UTSETTOT,Total - Repurchase Agreements: U.S. Treasury securities (excluding TIPS)
43,SBN2024,PDSIRRA-ABSTOT,Total - Reverse Repurchase Agreements: Asset-backed securities
44,SBN2024,PDSIRRA-CDTOT,"Total - Other Financing Activity, Securities Borrowed: Federal Agency and GSE Residential MBS"
45,SBN2024,PDSIRRA-ETOT,Total - Reverse Repurchase Agreements: Equities
46,SBN2024,PDSIRRA-FGCMTOT,Total - Reverse Repurchase Agreements: Federal Agency and GSE CMBS
47,SBN2024,PDSIRRA-FGMTOT,Total - Reverse Repurchase Agreements: Federal Agency and GSE Residential MBS
48,SBN2024,PDSIRRA-FGEMTOT,Total - Reverse Repurchase Agreements: Federal Agency and GSE Securities (excluding MBS) 
49,SBN2024,PDSIRRA-OTOT,Total - Reverse Repurchase Agreements: Other 
50,SBN2024,PDSIRRA-UTSTTOT,Total - Reverse Repurchase Agreements: U.S. Treasury Inflation-Protected Securities (TIPS)
51,SBN2024,PDSIRRA-UTSETTOT,Total - Reverse Repurchase Agreements: U.S. Treasury securities (excluding TIPS)
52,SBN2024,PDSIOSB-UTSTTOT,Total - TREASURY INFLATION-PROTECTED SECURITIES (TIPS) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED
53,SBN2024,PDSOOS-UTSTTOT,Total - TREASURY INFLATION-PROTECTED SECURITIES (TIPS) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT
54,SBN2024,PDSIOSB-UTSETTOT,Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED
55,SBN2024,PDSOOS-UTSETTOT,Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT
56,SBN2024,PDCAFHLMCNONUMBS-FDT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO DELIVER"
57,SBN2024,PDCAFHLMCNONUMBS-FRT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO RECEIVE"
58,SBN2024,PDCAFNMAFHLMC-FDT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO DELIVER"
59,SBN2024,PDCAFNMAFHLMC-FRT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO RECEIVE"
60,SBN2024,PDCAFHLMCNONUMBS-DRT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) DOLLAR ROLL"
61,SBN2024,PDCAFHLMCNONUMBS-OUTT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) OUTRIGHT"
62,SBN2024,PDCAFNMAFHLMC-DRT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS DOLLAR ROLL"
63,SBN2024,PDCAFNMAFHLMC-OUTT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS OUTRIGHT"
64,SBN2024,PDCBFHLMCNONUMBS-FDT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO DELIVER"
65,SBN2024,PDCBFHLMCNONUMBS-FRT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO RECEIVE"
66,SBN2024,PDCBFNMAFHLMC-FDT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO DELIVER"
67,SBN2024,PDCBFNMAFHLMC-FRT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO RECEIVE"
68,SBN2024,PDCBFHLMCNONUMBS-DRT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) DOLLAR ROLL"
69,SBN2024,PDCBFHLMCNONUMBS-OUTT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) OUTRIGHT"
70,SBN2024,PDCBFNMAFHLMC-DRT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS DOLLAR ROLL"
71,SBN2024,PDCBFNMAFHLMC-OUTT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS OUTRIGHT"
72,SBN2024,PDCCGNMA-FDT,"Total - CLASS C, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: GNMA FAILS TO DELIVER"
73,SBN2024,PDCCGNMA-FRT,"Total - CLASS C, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: GNMA FAILS TO RECEIVE"
74,SBN2024,PDCCGNMA-DRT,"Total - CLASS C, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: GNMA DOLLAR ROLL"
75,SBN2024,PDCCGNMA-OUTT,"Total - CLASS C, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: GNMA OUTRIGHT"
76,SBN2024,PDMEFHLMCNONUMBS15-FDT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO DELIVER"
77,SBN2024,PDMEFHLMCNONUMBS15-FRT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO RECEIVE"
78,SBN2024,PDMEFNMAFHLMC15-FDT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO DELIVER"
79,SBN2024,PDMEFNMAFHLMC15-FRT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO RECEIVE"
80,SBN2024,PDMEFHLMCNONUMBS15-DRT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) DOLLAR ROLL"
